Website Name,Breach Date,Date Added to HIBP,Compromised Accounts,Compromised Data
000webhost,1 March 2015,26 October 2015,"14,936,670","Email addresses, IP addresses, Names, Passwords"
123RF,22 March 2020,15 November 2020,"8,661,578","Email addresses, IP addresses, Names, Passwords, Phone numbers, Physical addresses, Usernames"
126,1 January 2012,8 October 2016,"6,414,191","Email addresses, Passwords"
17,19 April 2016,8 July 2016,"4,009,640","Device information, Email addresses, IP addresses, Passwords, Usernames"
17173,28 December 2011,28 April 2018,"7,485,802","Email addresses, Passwords, Usernames"
"2,844 Separate Data Breaches",19 February 2018,26 February 2018,"80,115,532","Email addresses, Passwords"
2fast4u,20 December 2017,7 January 2018,"17,706","Email addresses, Passwords, Usernames"
500px,5 July 2018,25 March 2019,"14,867,999","Dates of birth, Email addresses, Genders, Geographic locations, Names, Passwords, Usernames"
7k7k,1 January 2011,26 September 2017,"9,121,434","Email addresses, Passwords, Usernames"
8fit,1 July 2018,21 March 2019,"15,025,407","Email addresses, Genders, Geographic locations, IP addresses, Names, Passwords"
8tracks,27 June 2017,16 February 2018,"17,979,961","Email addresses, Passwords"
Abandonia (2015),1 November 2015,5 June 2017,"776,125","Email addresses, IP addresses, Passwords, Usernames"
Abandonia (2022),15 November 2022,7 December 2022,"919,790","Email addresses, IP addresses, Passwords, Usernames"
AbuseWith.Us,1 July 2016,9 October 2017,"1,372,550","Email addresses, IP addresses, Passwords, Usernames"
Acne.org,25 November 2014,6 March 2016,"432,943","Dates of birth, Email addresses, IP addresses, Passwords, Usernames"
ActMobile,8 October 2021,9 November 2021,"1,583,193","Email addresses, IP addresses"
Adapt,5 November 2018,22 November 2018,"9,363,740","Email addresses, Employers, Job titles, Names, Phone numbers, Physical addresses, Social media profiles"
Adecco,3 January 2021,31 May 2022,"4,284,538","Email addresses, Genders, Geographic locations, Marital statuses, Names, Passwords, Phone numbers"
Aditya Birla Fashion and Retail,1 December 2021,15 January 2022,"5,470,063","Email addresses, Genders, Income levels, Job titles, Marital statuses, Names, Passwords, Phone numbers, Physical addresses, Purchases, Religions, Salutations"
Adobe,4 October 2013,4 December 2013,"152,445,165","Email addresses, Password hints, Passwords, Usernames"
Adult FriendFinder (2015),21 May 2015,22 May 2015,"3,867,997","Dates of birth, Email addresses, Genders, Geographic locations, IP addresses, Races, Relationship statuses, Sexual orientations, Spoken languages, Usernames"
Adult FriendFinder (2016),16 October 2016,6 February 2020,"169,746,810","Email addresses, Passwords, Spoken languages, Usernames"
Adult-FanFiction.Org,30 May 2018,6 August 2018,"186,082","Dates of birth, Email addresses, Names, Passwords"
AerServ,1 April 2018,6 December 2018,"66,308","Email addresses, Employers, Job titles, Names, Passwords, Phone numbers, Physical addresses"
AgusiQ-Torrents.pl,24 September 2019,4 December 2019,"90,478","Email addresses, IP addresses, Passwords, Usernames"
AhaShare.com,30 May 2013,6 November 2014,"180,468","Email addresses, Genders, Geographic locations, IP addresses, Partial dates of birth, Passwords, Usernames, Website activity"
ai.type,5 December 2017,8 December 2017,"20,580,060","Address book contacts, Apps installed on devices, Cellular network names, Dates of birth, Device information, Email addresses, Genders, Geographic locations, IMEI numbers, IMSI numbers, IP addresses, Names, Phone numbers, Profile photos, Social media profiles"
Aimware,28 April 2019,2 May 2022,"305,470","Email addresses, IP addresses, Passwords, Private messages, Usernames, Website activity"
Aipai.com,27 September 2016,7 November 2016,"6,496,778","Email addresses, Passwords"
Ajarn,13 December 2018,26 September 2021,"266,399","Dates of birth, Education levels, Email addresses, Genders, Geographic locations, Job applications, Marital statuses, Names, Nationalities, Passwords, Phone numbers, Profile photos"
AKP Emails,19 July 2016,1 October 2017,"917,461","Email addresses, Email messages"
Amart Furniture,16 May 2022,25 May 2022,"108,940","Email addresses, Names, Passwords, Phone numbers, Physical addresses"
Ancestry,7 November 2015,24 December 2017,"297,806","Email addresses, Passwords"
Android Forums,30 October 2011,20 December 2015,"745,355","Dates of birth, Email addresses, Homepage URLs, Instant messenger identities, IP addresses, Passwords"
Animal Jam,12 October 2020,12 November 2020,"7,104,998","Dates of birth, Email addresses, Genders, IP addresses, Names, Passwords, Physical addresses, Usernames"
AnimeGame,27 February 2020,9 March 2020,"1,431,378","Email addresses, Passwords, Usernames"
Anime-Planet,1 January 2016,28 July 2019,"368,507","Dates of birth, Email addresses, IP addresses, Passwords, Usernames"
Animoto,10 July 2018,18 July 2019,"22,437,749","Dates of birth, Email addresses, Geographic locations, Names, Passwords"
Anti Public Combo List,16 December 2016,4 May 2017,"457,962,538","Email addresses, Passwords"
Apollo,23 July 2018,5 October 2018,"125,929,660","Email addresses, Employers, Geographic locations, Job titles, Names, Phone numbers, Salutations, Social media profiles"
Appartoo,25 March 2017,2 May 2019,"49,681","Ages, Auth tokens, Email addresses, Employment statuses, Genders, IP addresses, Marital statuses, Names, Passwords, Physical addresses, Private messages, Social media profiles"
Appen,22 June 2020,30 July 2020,"5,888,405","Email addresses, Employers, IP addresses, Names, Passwords, Phone numbers"
Aptoide,13 April 2020,19 April 2020,"20,012,235","Browser user agent details, Email addresses, IP addresses, Names, Passwords"
Armor Games,1 January 2019,20 July 2019,"10,604,307","Bios, Dates of birth, Email addresses, Genders, Geographic locations, IP addresses, Passwords, Usernames"
Army Force Online,18 May 2016,10 November 2016,"1,531,235","Avatars, Email addresses, Geographic locations, IP addresses, Names, Passwords, Usernames, Website activity"
Artsy,1 April 2018,25 May 2020,"1,079,970","Email addresses, IP addresses, Names, Passwords"
Artvalue,19 June 2019,19 July 2019,"157,692","Email addresses, Names, Passwords, Salutations, Usernames"
Ashley Madison,19 July 2015,18 August 2015,"30,811,934","Dates of birth, Email addresses, Ethnicities, Genders, Names, Passwords, Payment histories, Phone numbers, Physical addresses, Security questions and answers, Sexual orientations, Usernames, Website activity"
Astropid,19 December 2013,6 July 2014,"5,788","Email addresses, Instant messenger identities, IP addresses, Names, Passwords, Private messages, Usernames, Website activity"
Aternos,6 December 2015,1 October 2016,"1,436,486","Email addresses, IP addresses, Passwords, Usernames, Website activity"
Atlas Quantum,25 August 2018,27 August 2018,"261,463","Account balances, Email addresses, Names, Phone numbers"
Audi,14 August 2019,23 July 2021,"2,743,539","Dates of birth, Driver's licenses, Email addresses, Names, Phone numbers, Physical addresses, Social security numbers, Vehicle details"
Autocentrum.pl,4 February 2018,9 February 2018,"143,717","Email addresses, Passwords"
Autotrader,6 January 2023,23 January 2023,"20,032","Email addresses, Phone numbers, Physical addresses, Vehicle details, Vehicle identification numbers (VINs)"
Avast,26 May 2014,12 March 2016,"422,959","Email addresses, Passwords, Usernames"
Avvo,17 December 2019,15 April 2022,"4,101,101","Email addresses, Passwords"
B2B USA Businesses,18 July 2017,18 July 2017,"105,059,554","Email addresses, Employers, Job titles, Names, Phone numbers, Physical addresses"
Baby Names,24 October 2008,24 October 2018,"846,742","Email addresses, Passwords"
Badoo,1 June 2013,6 July 2016,"112,005,531","Dates of birth, Email addresses, Genders, Names, Passwords, Usernames"
BannerBit,29 December 2018,8 January 2019,"213,415","Email addresses, Passwords"
Banorte,18 August 2014,18 August 2022,"2,107,000","Account balances, Email addresses, Genders, Government issued IDs, Names, Phone numbers, Physical addresses"
Battlefield Heroes,26 June 2011,23 January 2014,"530,270","Passwords, Usernames"
Battlefy,11 January 2016,29 July 2022,"83,610","Email addresses, Passwords, Usernames"
Beautiful People,11 November 2015,25 April 2016,"1,100,089","Beauty ratings, Car ownership statuses, Dates of birth, Drinking habits, Education levels, Email addresses, Genders, Geographic locations, Home ownership statuses, Income levels, IP addresses, Job titles, Names, Passwords, Personal descriptions, Personal interests, Physical attributes, Sexual orientations, Smoking habits, Website activity"
Bell (2014 breach),1 February 2014,1 February 2014,"20,902","Credit cards, Genders, Passwords, Usernames"
Bell (2017 breach),15 May 2017,16 May 2017,"2,231,256","Email addresses, Geographic locations, IP addresses, Job titles, Names, Passwords, Phone numbers, Spoken languages, Survey results, Usernames"
Benchmark,1 November 2019,1 January 2023,"93,343","Email addresses, IP addresses, Passwords, Usernames"
Bestialitysextaboo,19 March 2018,29 March 2018,"3,204","Dates of birth, Email addresses, Genders, Geographic locations, IP addresses, Passwords, Private messages, Usernames"
Bhinneka,27 January 2020,6 October 2022,"1,274,340","Dates of birth, Email addresses, Genders, Names, Passwords, Phone numbers, Physical addresses"
bigbasket,14 October 2020,26 April 2021,"24,500,011","Dates of birth, Email addresses, IP addresses, Names, Passwords, Phone numbers, Physical addresses"
BigMoneyJobs,3 April 2014,8 April 2014,"36,789","Career levels, Education levels, Email addresses, Names, Passwords, Phone numbers, Physical addresses, Salutations, User website URLs, Website activity"
Bin Weevils,1 September 2014,18 August 2017,"1,287,073","Ages, Email addresses, Genders, IP addresses, Passwords, Usernames"
Biohack.me,2 December 2016,23 August 2017,"3,402","Email addresses, Passwords, Private messages, Usernames"
Bitcoin Security Forum Gmail Dump,9 January 2014,10 September 2014,"4,789,599","Email addresses, Passwords"
Bitcoin Talk,22 May 2015,27 March 2017,"501,407","Dates of birth, Email addresses, Genders, IP addresses, Passwords, Security questions and answers, Usernames, Website activity"
Bitly,8 May 2014,6 October 2017,"9,313,136","Email addresses, Passwords, Usernames"
BitTorrent,1 January 2016,8 June 2016,"34,235","Email addresses, IP addresses, Passwords, Usernames"
Black Hat World,23 June 2014,3 November 2015,"777,387","Dates of birth, Email addresses, Instant messenger identities, IP addresses, Passwords, Usernames, Website activity"
BlackBerry Fans,6 May 2022,16 May 2022,"174,168","Email addresses, IP addresses, Passwords, Usernames"
